Title,Authors,Abstract
Direct neuronal differentiation of neural stem cells for spinal cord injury repair,"Xue W, Fan C, Chen B, Zhao Y, Xiao Z, Dai J.","AB  - Severe spinal cord injury (SCI) leads to almost complete neural cell loss at the injured site, causing the irreversible disruption of neuronal circuits. The transplantation of neural stem or precursor cells (NS/PCs) has been regarded as potentially effective for SCI treatment because NS/PCs can compensate for the injured sites by differentiating into neurons and glial cells (astrocytes and oligodendrocytes). An understanding of the molecular mechanisms that regulate the proliferation, fate specification and maturation of NS/PCs and their progeny would facilitate the establishment of better therapeutic strategies for regeneration after SCI. In recent years, several studies of SCI animal models have demonstrated that the modulation of specific epigenetic marks by histone modifiers and non-coding RNAs directs the setting of favorable cellular environments that promote the neuronal differentiation of NS/PCs and/or the elongation of the axons of the surviving neurons at the injured sites. In this review, we provide an overview of recent progress in the epigenetic regulation/manipulation of neural cells for the treatment of SCI."
Stem cell therapy for the spinal cord,"Donnelly EM, Lamanna J, Boulis NM.","AB  - Tissue engineering (TE) is a rapidly evolving biomedical discipline that can play an important role in treating neurogenic bladder dysfunction and compensating for current conventional options' shortcomings. This review aims to analyze the current status of preclinical and clinical trials and discuss what could be expected in the future based on the current state of the art. Although most preclinical studies provide promising results on the effectiveness of TE and stem cell therapies, the main limitations are mainly the very slow translation of preclinical trials to clinical trials, lack of quality research on neurogenic preconditions of neurogenic bladder dysfunction outside of the spinal cord injury and varying therapeutic methods of the existing research that lacks a standardized approach."
Transplanting neural progenitor cells to restore connectivity after spinal cord injury,"Fischer I, Dulin JN, Lane MA.","AB  - We investigated the effects of cytokines and chemokines and their associated signaling pathways on mesenchymal stem cell migration after spinal cord injury, to determine their roles in the curative effects of mesenchymal stem cells. This study reviewed the effects of tumor necrosis factor-α, vascular endothelial growth factor, hepatocyte growth factor, platelet-derived growth factor, basic fibroblast growth factor, insulin like growth factor-1, stromal cell-derived factor and monocyte chemoattractant protein-1, 3 during mesenchymal stem cell migration to damaged sites, and analyzed the signal transduction pathways involved in their effects on mesenchymal stem cell migration. The results confirmed that phosphatidylinositol 3-kinase/serine/threonine protein kinases and nuclear factor-κB play crucial roles in the migration of mesenchymal stem cells induced by cytokines and chemokines."
Will stem cell therapies be safe and effective for treating spinal cord injuries?,"Thomas KE, Moon LD.","AB  - Stem cell therapies have significant potential to treat spinal cord injury (SCI), but it remains difficult to translate these therapies from 'bench to bedside'. Identifying barriers to translation and understanding how these barriers are viewed by stakeholders in the field of stem cell research are key steps to clinical translation. The Stem Cell Global Blueprint Conference, held in Toronto (ON, Canada) presented a unique opportunity to analyze the perspectives of multiple stakeholders on the future of stem cell therapies for SCI treatment. This article is an analysis of data collected at the conference, including a consensus-building process and pre- and in-conference questionnaires. The authors used these data to assess current perceptions of stem cell research and compared the findings with the literature. The authors identified the major barriers according to a wide range of stakeholders and what strategies they suggested to overcome these obstacles, with the aim of forwarding discussion on stem cell research. It is not a systematic review of the area, but rather a presentation of expert opinion with literature citations to give context and support to their arguments and suggestions. The authors believe that the international SCI community is ready for larger-scale clinical translation, which will require the continued cooperation of all stakeholders in the stem cell and SCI communities."
Glia in amyotrophic lateral sclerosis and spinal cord injury: common therapeutic targets,"Ban J, Sámano C, Mladinic M, Munitic I.","AB  - OBJECTIVE: To review the recent studies about human umbilical cord mesenchymal stem cells (hUCMSCs) and advances in the treatment of spinal cord injury. Data sources Published articles (1983 - 2007) about hUCMSCs and spinal cord injury were selected using Medline. Study selection Articles selected were relevant to development of mesenchymal stem cells (MSCs) for transplantation in spinal cord injury therapy. Of 258 originally identified articles 51 were selected that specifically addressed the stated purpose. RESULTS: Recent work has revealed that hUCMSCs share most of the characteristics with MSCs derived from bone marrow and are more appropriate to transplantation for cell based therapies. CONCLUSIONS: Human umbilical cord could be regarded as a source of MSCs for experimental and clinical needs. In addition, as a peculiar source of stem cells, hUCMSCs may play an important role in the treatment of spinal cord injury."
Advancements in Spinal Cord Injury Repair: Insights from Dental-Derived Stem Cells,"Wen X, Jiang W, Li X, Liu Q, Kang Y, Song B.","AB  - Due to the complex pathophysiological mechanism, spinal cord injury (SCI) has become one of the most intractable central nervous system (CNS) diseases to therapy. Stem cell transplantation, mesenchymal stem cells (MSCs) particularly, appeals to more and more attention along with the encouraging therapeutic results for the functional regeneration of SCI. However, traditional cell transplantation strategies have some limitations, including the unsatisfying survival rate of MSCs and their random diffusion from the injection site to ambient tissues. The application of biomaterials in tissue engineering provides a new horizon. Biomaterials can not only confine MSCs in the injured lesions with higher cell viability, but also promote their therapeutic efficacy. This review summarizes the strategies and advantages of biomaterials reinforced MSCs transplantation to treat SCI in recent years, which are clarified in the light of various therapeutic effects in pathophysiological aspects of SCI."
Porcine Model of Spinal Cord Injury: A Systematic Review,"Weber-Levine C, Hersh AM, Jiang K, Routkevitch D, Tsehay Y, Perdomo-Pantoja A, Judy BF, Kerensky M, Liu A, Adams M, Izzi J, Doloff JC, Manbachi A, Theodore N.","AB  - Stem cells have been used in novel therapeutic strategies for spinal cord injury (SCI), but the effect of stem cell transplantation on neuropathic pain after SCI is unclear. The current meta-analysis evaluates the effects of stem cell transplantation on neuropathic pain after SCI. We first conducted online searches of PubMed, Web of Science, China Academic Journals Full-text Database, and Wanfang Data for randomized controlled trials that compared stem cell transplantation and vehicle treatments in rodent models of neuropathic pain after SCI. Quality assessment was performed using Cochrane Reviewer's Handbook 5.1.0, and meta-analysis was conducted with RevMan 5.3. Then, we developed a rat model of SCI and transplanted bone marrow mesenchymal stem cells to verify meta-analysis results. Twelve randomized, controlled trials (n=354 total animals) were included in our meta-analysis and divided by subgroups, including species, timing of behavioral measurements, and transplantation time after SCI. Subgroup analysis of these 12 studies indicated that stem cell-treated animals had a higher mechanical reflex threshold than vehicle groups, with a significant difference in both rats and mice. The thermal withdrawal latency showed the same results in mouse subgroups, but not in rat subgroups. In addition, mesenchymal stem cell transplantation was an effective treatment for mechanical, but not thermal reflex hypersensitivity relief in rats. Transplantation showed a positive effect when carried out at 3 or 7days post-SCI. Stem cell transplantation alleviates mechanical reflex hypersensitivity in rats and mice and thermal reflex hypersensitivity in mice after SCI."
Transplantation Strategies for Spinal Cord Injury Based on Microenvironment Modulation,"Shu J, Cheng F, Gong Z, Ying L, Wang C, Yu C, Zhou X, Xiao M, Wang J, Xia K, Huang X, Tao Y, Shi K, Liu Y, Liang C, Chen Q, Feng X, Li F.","AB  - Injury and disease of the spinal cord are generally met with a poor prognosis. This poor prognosis is due not only to the characteristics of the diseases but also to our poor ability to deliver therapeutics to the spinal cord. The spinal cord is extremely sensitive to direct manipulation, and delivery of therapeutics has proven a challenge for both scientists and physicians. Recent advances in stem cell technologies have opened up a new avenue for the treatment of spinal cord disease and injury. Stem cells have proven beneficial in rodent models of spinal cord disease and injury. In these animal models, stem cells have been shown to produce their effect by the dual action of cell replacement and the trophic support of the factors secreted by these cells. In this review we look at the main clinical trials involving stem cell transplant into the spinal cord, focusing on motor neuron diseases and spinal cord injury. We will also discuss the major hurdles in optimizing stem cell delivery methods into the spinal cord. We shall examine current techniques such as functional magnetic resonance imaging guidance and cell labeling and will look at the current research striving to improve these techniques. With all caveats and future research taken into account, this is a very exciting time for stem cell transplant into the spinal cord. We are only beginning to realize the huge potential of stem cells in a central nervous system setting to provide cell replacement and trophic support. Many more trials will need to be undertaken before we can fully exploit the attributes of stem cells."
Dual differentiation-exogenous mesenchymal stem cell therapy for traumatic spinal cord injury repair in a murine hemisection model,"Liu H, Schwarz EM, Xie C.","AB  - Epidermal neural crest stem cell (EPI-NCSC) grafts cause a significant improvement in sensory connectivity and touch perception in the contused mouse spinal cord. EPI-NCSC are derived from the embryonic neural crest but reside in a postnatal location, the bulge of hair follicles. Both mouse and human EPI-NCSC are multipotent adult stem cells capable of generating all major neural crest derivatives. EPI-NCSC of mouse and human origin express the neural crest stem cell molecular signature, genes that were initially used to create induced pluripotent stem (iPS) cells, and other neural crest and global stem cell genes. Due to their origin in the neural folds and because they share a higher order stem cell, neural crest cells, and thus EPI-NCSC, are closely related to neural tube stem cells. This close ontological relationship with the spinal cord makes EPI-NCSC attractive candidates for cell-based therapy in spinal cord injury. In two different contusion models of spinal cord injury, we have shown that EPI-NCSC integrate into the murine spinal cord tissue and that subsets differentiate into GABAergic neurons and myelinating oligodendrocytes. Intraspinal EPI-NCSC do not form tumours. In the presence of EPI-NCSC grafts, but not in control animals, there is a 24% improvement of sensory connectivity and a substantial improvement in touch perception. Unilateral transplants leading to bilateral functional improvements suggest that underlying mechanisms include diffusible molecules. EPI-NCSC indeed express genes that encode neurotrophins, other trophic factors, angiogenic factors and metalloproteases. Intraspinal EPI-NCSC thus have multiple effects in the contused spinal cord, the sum of which can explain the observed functional improvements."
Human embryonic stem cell-derived oligodendrocyte progenitors for the treatment of spinal cord injury,"Faulkner J, Keirstead HS.","AB  - Spinal cord injury (SCI) is induced by a variety of damages such as trauma, ischemia, and iatrogenic injury, resulting in sense and motion dysfunction. Despite the improvements in medical and surgical care, current treatment methods for SCI demonstrate poor and delayed efficiency, leading to different degree of permanent loss of neural function and disability in the patients. Rapid advances in stem-cells research suggest that stem cells may be applied in SCI therapy. Indeed, SCI is a major field in which stem-cell therapy has been proposed and practised, and most recently the clinical trials of stem-cell therapy were initiated, which aroused a number of clinical concerns. In this review, we summarize current status of SCI repair, then introduce the sources and biological characteristics of induced pluripotent stem cells (iPSCs), and discuss the differentiation potential of iPSCs and the perspective of the application of iPSCs in SCI therapy."
Hydrogel scaffolds in the treatment of spinal cord injury: a review,"Cai M, Chen L, Wang T, Liang Y, Zhao J, Zhang X, Li Z, Wu H.","AB  - The toolkit for repairing damaged neurons in amyotrophic lateral sclerosis (ALS) and spinal cord injury (SCI) is extremely limited. Here, we reviewed the in vitro and in vivo studies and clinical trials on nonneuronal cells in the neurodegenerative processes common to both these conditions. Special focus was directed to microglia and astrocytes, because their activation and proliferation, also known as neuroinflammation, is a key driver of neurodegeneration. Neuroinflammation is a multifaceted process that evolves during the disease course, and can be either beneficial or toxic to neurons. Given the fundamental regulatory functions of glia, pathogenic mechanisms in neuroinflammation represent promising therapeutic targets. We also discussed neuroprotective, immunosuppressive, and stem-cell based approaches applicable to both ALS and SCI."
Olfactory Ensheathing Cells for Spinal Cord Injury: Sniffing Out the Issues,"Yao R, Murtaza M, Velasquez JT, Todorovic M, Rayfield A, Ekberg J, Barton M, St John J.","AB  - Spinal cord injury remains a scientific and therapeutic challenge with great cost to individuals and society. The goal of research in this field is to find a means of restoring lost function. Recently we have seen considerable progress in understanding the injury process and the capacity of CNS neurons to regenerate, as well as innovations in stem cell biology. This presents an opportunity to develop effective transplantation strategies to provide new neural cells to promote the formation of new neuronal networks and functional connectivity. Past and ongoing clinical studies have demonstrated the safety of cell therapy, and preclinical research has used models of spinal cord injury to better elucidate the underlying mechanisms through which donor cells interact with the host and thus increase long-term efficacy. While a variety of cell therapies have been explored, we focus here on the use of neural progenitor cells obtained or derived from different sources to promote connectivity in sensory, motor and autonomic systems."
A Bayesian Network Analysis of the Efficacy of Scaffolds and Stem Cells in Spinal Cord Injury Treatment,"Wang Y, Yi H.","AB  - Traumatic injuries to the spinal cord lead to severe and permanent neurological deficits. Although no effective therapeutic option is currently available, recent animal studies have shown that cellular transplantation strategies hold promise to enhance functional recovery after spinal cord injury (SCI). This review is to analyze the experiments where transplantation of stem/progenitor cells produced successful functional outcome in animal models of SCI. There is no consensus yet on what kind of stem/progenitor cells is an ideal source for cellular grafts. Three kinds of stem/progenitor cells have been utilized in cell therapy in animal models of SCI: embryonic stem cells, bone marrow mesenchymal stem cells, and neural stem cells. Neural stem cells or fate-restricted neuronal or glial progenitor cells were preferably used because they have clear capacity to become neurons or glial cells after transplantation into the injured spinal cord. At least a part of functional deficits after SCI is attributable to chronic progressive demyelination. Therefore, several studies transplanted glial-restricted progenitors or oligodendrocyte precursors to target the demyelination process. Directed differentiation of stem/progenitor cells to oligodendrocyte lineage prior to transplantation or modulation of microenvironment in the injured spinal cord to promote oligodendroglial differentiation seems to be an effective strategy to increase the extent of remyelination. Transplanted stem/progenitor cells can also contribute to promoting axonal regeneration by functioning as cellular scaffolds for growing axons. Combinatorial approaches using polymer scaffolds to fill the lesion cavity or introducing regeneration-promoting genes will greatly increase the efficacy of cellular transplantation strategies for SCI."
Role and prospects of regenerative biomaterials in the repair of spinal cord injury,"Liu S, Xie YY, Wang B.","AB  - BACKGROND: Novel scaffolds and stem cells are alternatives for the treatment of spinal cord injury (SCI), which causes life-long disability. However, there is a lack of synthesized evidence comparing different therapies. AIM: To examine the efficacy of various treatments in achieving locomotor recovery in SCI animals. The PubMed, Scopus and Web of Science databases were searched from inception to 21st May 2021. METHODS: The data were extracted by one investigator under the surveillance of a referee according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 statement and stored in Microsoft Excel. All data were analysed using Bayesian network analysis with a consistency model. The selection was performed in strict accordance with the participant, intervention, comparison, outcome and study (PICOS) principle, as specifically stated in the methods section. RESULTS: A total of 387 eligible studies involving 11169 animals subjected to 5 different treatments were evaluated. Compared to placebo or no treatment, scaffolds (mean difference (MD), 2.04; 95% credible interval (CrI): 1.58 to 2.50), exosomes (MD, 3.46; 95% CrI: 3.07 to 3.86), stem cells (MD, 4.18; 95% CrI: 3.28 to 5.07), scaffolds in conjunction with stem cells (MD, 5.26; 95% CrI: 4.62 to 5.89), and scaffolds in conjunction with non-cell agents (MD, 4.88; 95% CrI: 4.21 to 5.54) led to significant recovery of locomotor function in SCI animals. No significant difference in the locomotor function score was observed between animals treated with stem cells and those treated with exosomes (MD, 0.71; 95% CrI: -0.25 to 3.05), between animals treated with scaffolds in conjunction with stem cells and those treated with scaffolds in conjunction with non-cell agents (MD, -0.38; 95% CrI: -1.24 to 0.49), or between animals treated with scaffolds in conjunction with non-cell agents and those treated with stem cells (MD, 0.71; 95% CrI: - 0.38 to 1.80). CONCLUSION: Significant differences in the efficacy of various therapies in SCI animals were observed, and transplantation of scaffolds in conjunction with non-cell agents, scaffolds in conjunction with stem cells, and stem cells should be considered over transplantation of exosomes or scaffolds alone. Even though transplantation of scaffolds alone promoted locomotor function recovery in SCI animals, its use should be discouraged."
Repair of spinal cord injury by bone marrow mesenchymal stem cell-derived exosomes: a systematic review and meta-analysis based on rat models,"Ye Z, Zheng Y, Li N, Zhang H, Li Q, Wang X.","AB  - Spinal cord injury (SCI) is a devastating condition that affects approximately 294,000 people in the USA and several millions worldwide. The corticospinal motor circuitry plays a major role in controlling skilled movements and in planning and coordinating movements in mammals and can be damaged by SCI. While axonal regeneration of injured fibers over long distances is scarce in the adult CNS, substantial spontaneous neural reorganization and plasticity in the spared corticospinal motor circuitry has been shown in experimental SCI models, associated with functional recovery. Beneficially harnessing this neuroplasticity of the corticospinal motor circuitry represents a highly promising therapeutic approach for improving locomotor outcomes after SCI. Several different strategies have been used to date for this purpose including neuromodulation (spinal cord/brain stimulation strategies and brain-machine interfaces), rehabilitative training (targeting activity-dependent plasticity), stem cells and biological scaffolds, neuroregenerative/neuroprotective pharmacotherapies, and light-based therapies like photodynamic therapy (PDT) and photobiomodulation (PMBT). This review provides an overview of the spontaneous reorganization and neuroplasticity in the corticospinal motor circuitry after SCI and summarizes the various therapeutic approaches used to beneficially harness this neuroplasticity for functional recovery after SCI in preclinical animal model and clinical human patients' studies."
Efficacy and safety of bone marrow-derived cell transplantation for spinal cord injury: a systematic review and meta-analysis of clinical trials,"Li XC, Zhong CF, Deng GB, Liang RW, Huang CM.","AB  - Spinal cord injury (SCI) is different from peripheral nerve injury; it results in devastating and permanent damage to the spine, leading to severe motor, sensory and autonomic dysfunction. SCI produces a complex microenvironment that can result in hemorrhage, inflammation and scar formation. Not only does it significantly limit regeneration, but it also challenges a multitude of transplantation strategies. In order to promote regeneration, researchers have recently begun to focus their attention on strategies that manipulate the complicated microenvironment produced by SCI. And some have achieved great therapeutic effects. Hence, reconstructing an appropriate microenvironment after transplantation could be a potential therapeutic solution for SCI. In this review, first, we aim to summarize the influential compositions of the microenvironment and their different effects on regeneration. Second, we highlight recent research that used various transplantation strategies to modulate different microenvironments produced by SCI in order to improve regeneration. Finally, we discuss future transplantation strategies regarding SCI."
Wnt/β-Catenin Signaling in Neural Stem Cell Homeostasis and Neurological Diseases,"Gao J, Liao Y, Qiu M, Shen W.","AB  - Spinal cord injury (SCI) is a disease of the central nervous system often caused by accidents, and its prognosis is unsatisfactory, with long-term adverse effects on patients' lives. The key to its treatment lies in the improvement of the microenvironment at the injury and the reconstruction of axons, and tissue repair is a promising therapeutic strategy. Hydrogel is a three-dimensional mesh structure with high water content, which has the advantages of biocompatibility, degradability, and adjustability, and can be used to fill pathological defects by injectable flowing hydrophilic material in situ to accurately adapt to the size and shape of the injury. Hydrogels mimic the natural extracellular matrix for cell colonization, guide axon extension, and act as a biological scaffold, which can be used as an excellent carrier to participate in the treatment of SCI. The addition of different materials to make composite hydrogel scaffolds can further enhance their performance in all aspects. In this paper, we introduce several typical composite hydrogels and review the research progress of hydrogel for SCI to provide a reference for the clinical application of hydrogel therapy for SCI."
"Extracellular Vesicles in the Pathogenesis, Treatment, and Diagnosis of Spinal Cord Injury: A Mini-Review","Wang Y, Xu H, Wang J, Yi H, Song Y.","AB  - Spinal cord injury usually leads to permanent disability, which could cause a huge financial problem to the patient. Up to now there is no effective method to treat this disease. The key of the treatment is to enable the damage zone axonal regeneration and luckily it could go through the damage zone; last a connection can be established with the target neurons. This study attempts to combine stem cell, material science and genetic modification technology together, by preparing two genes modified adipose-derived stem cells and inducing them into neuron direction; then by compositing them on the silk fibroin/chitosan scaffold and implanting them into the spinal cord injury model, seed cells can have features of neuron cells. At the same time, it could stably express the brain-derived neurotrophic factor and neurotrophin-3, both of which could produce synergistic effects, which have a positive effect on the recovery of spinal cord. The spinal cord scaffold bridges the broken end of the spinal cord and isolates with the surrounding environment, which could avoid a scar effect on the nerve regeneration and provide three-dimensional space for the seed cell growth, and at last we hope to provide a new treatment for spinal cord injury with the tissue engineering technique."
Recent advances in managing a spinal cord injury secondary to trauma,"Ahuja CS, Martin AR, Fehlings M.","AB  - BACKGROUND: Spinal cord injury (SCI) affects around 18,000 individuals annually, representing nearly one-third of all paralysis cases. Stem cell therapy, a focal point in contemporary neuroregeneration research for SCI treatment, holds potential in leveraging undifferentiated stem cells to regenerate damaged tissues. This study seeks to comprehensively analyze current clinical trials exploring the potential use of stem cells in treating spinal cord injuries. METHODS: A data retrieval approach examined the ClinicalTrials.gov database using the terms spinal cord injury"" and ""stem cells."" Exclusion criteria eliminated studies not recruiting"
The evolution of nerve transfers for spinal cord injury,"Bazarek S, Brown JM.","AB  - Spinal cord injury devastates the CNS, besetting patients with symptoms including but not limited to: paralysis, autonomic nervous dysfunction, pain disorders and depression. Despite the identification of several molecular and genetic factors, a reliable regenerative therapy has yet to be produced for this terminal disease. Perhaps the missing piece of this puzzle will be discovered within endogenous electrotactic cellular behaviors. Neurons and stem cells both show mediated responses (growth rate, migration, differentiation) to electromagnetic waves, including direct current electric fields. This review analyzes the pathophysiology of spinal cord injury, the rationale for regenerative cell therapy and the evidence for directing cell therapy via electromagnetic waves shown by in vitro experiments."
Cell transplantation for spinal cord injury focusing on iPSCs,"Nakamura M, Tsuji O, Nori S, Toyama Y, Okano H.","AB  - Stem cells are self-renewing, pluripotent cells that can be manipulated in vitro to differentiate into virtually any cell type. Stem cells are highly proliferative and have the potential to expand into very large numbers of a desired cell lineage. As such, they represent an excellent source of cells for cellular replacement strategies in disease states that are typified by a loss of a particular cell population. Recent studies have indicated that spinal cord injury is accompanied by chronic progressive demyelination, and have thus identified oligodendrocytes as a desirable transplant population for remyelination strategies. To address this need, we developed a method to differentiate hESCs into high purity human oligodendrocyte progenitor cells (OPCs). Transplantation into spinal cord injury sites in adult rats resulted in remyelination and functional repair. Here, we summarize these findings and present new data concerning the effects of hESC-derived OPC transplantation on the host environment."
"Stem Cell Therapies for Central Nervous System Trauma: The 4 Ws-What, When, Where, and Why","Li X, Sundström E.","AB  - Spinal cord injury (SCI) can lead to serious functional disorders, which have serious impacts on patients and society. The current traditional treatments of SCI are not effective the injured spinal cord is difficult to repair and regenerate. In recent years, stem cell transplantation for the treatment of SCI has been a hot research topic. Dental pulp stem cells have strong abilities of self-renewal and multi-directional differentiation, and have been applied for tissue engineering and regenerative medicine. And dental pulp stem cells have certain advantages in neuro-regenetation, bringing new hope to biotherapy for SCI. This article reviews the characteristics of dental pulp stem cells and their research progress in the treatment of SCI."
Mechanism Underlying Acupuncture Therapy in Spinal Cord Injury: A Narrative Overview of Preclinical Studies,"Jiang K, Sun Y, Chen X.","AB  - Spinal cord injury (SCI) remains an important public health problem which often causes permanent loss of muscle strength, sensation, and function below the site of the injury, generating physical, psychological, and social impacts throughout the lives of the affected individuals, since there are no effective treatments available. The use of stem cells has been investigated as a therapeutic approach for the treatment of SCI. Although a significant number of studies have been conducted in pre-clinical and clinical settings, so far there is no established cell therapy for the treatment of SCI. One aspect that makes it difficult to evaluate the efficacy is the heterogeneity of experimental designs in the clinical trials that have been published. Cell transplantation methods vary widely among the trials, and there are still no standardized protocols or recommendations for the therapeutic use of stem cells in SCI. Among the different cell types, mesenchymal stem/stromal cells (MSCs) are the most frequently tested in clinical trials for SCI treatment. This study reviews the clinical applications of MSCs for SCI, focusing on the critical analysis of 17 clinical trials published thus far, with emphasis on their design and quality. Moreover, it highlights the need for more evidence-based studies designed as randomized controlled trials and potential challenges to be addressed in context of stem cell therapies for SCI."
Exosomes combined with biomaterials in the treatment of spinal cord injury,"Zhang X, Jiang W, Lu Y, Mao T, Gu Y, Ju D, Dong C.","AB  - Spinal cord injury (SCI) results in permanent neurological dysfunction and neuropathic pain. To address this pathology, we recently conducted a clinical study in which we transplanted neural precursor cells (NPCs) derived from human induced pluripotent stem cells into patients during the subacute phase of SCI. One of the therapeutic mechanisms of cell transplantation is the formation of synaptic connections with the host's neural tissues, which we demonstrated using a chemogenetic tool. In addition, we have developed innovative strategies to enhance the effectiveness of cell transplantation through gene therapy. Moreover, our current study is focused on developing cell therapy for chronic SCI, a more challenging pathology characterized by the formation of cavities and scar tissue. In such situations, transplanting NPCs with neurogenic properties could effectively penetrate scar tissue and form functional synapses with the host neurons. To improve the outcomes of cell transplantation alone, we have found that incorporating rehabilitation is beneficial. In animal models of SCI, we have established an effective rehabilitative training program in which NPCs were transplanted during the chronic phase. Robotic rehabilitation has demonstrated improvements in gait ability and trunk function in clinical situations. Therefore, regenerative medicine shows promise for chronic SCI, particularly when rehabilitation strategies are incorporated."
Therapeutical Strategies for Spinal Cord Injury and a Promising Autologous Astrocyte-Based Therapy Using Efficient Reprogramming Techniques,"Yang H, Liu CC, Wang CY, Zhang Q, An J, Zhang L, Hao DJ.","AB  - Stem cell transplantation has been applied to treat spinal cord injury (SCI) in clinical trials for many years. However, the clinical efficacies of stem cell transplantation in SCI have been quite diverse. The purpose of our study was to systematically investigate the efficacy of stem cell transplantation in patients with SCI. The PubMed, Web of Science, Ovid-Medline, Cochrane Library, China National Knowledge Infrastructure, VIP, Wanfang, and SinoMed databases were searched until October 27, 2020. Quantitative and qualitative data were analyzed by Review Manager 5.3 and R. Nine studies (n = 328) were included, and the overall risk of bias was moderate. The ASIA Impairment Scale (AIS) grading improvement rate was analyzed in favor of stem cell transplantation group [odds ratio (OR) = 6.06, 95% confidence interval (CI): 3.16-11.62, P < 0.00001]. Urodynamic indices also showed improvement in bladder function. In subgroup analyses, the results indicated that in patients with complete (AIS A) SCI, with the application of cell numbers between n*(10(7)-10(8)), two cell types (i.e., bone marrow-derived mesenchymal stem cells and bone marrow mononuclears), and treatment time of more than 6 months, stem cell transplantation was more beneficial for sensorimotor function (P < 0.05 for all groups). The risk of fever incidence in the stem cell transplantation group was 4.22 (95% CI: 1.7-10.22, P = 0.001), and principal component analysis (PCA) suggested it was more related to transplanted cell numbers. Thus, stem cell transplantation can promote functional recovery in SCI patients. Moreover, the type and quantity of transplanted stem cells and treatment time are important factors affecting the therapeutic effect of stem cell transplantation in SCI. Further studies are needed to evaluate the effects and elucidate the mechanisms of these factors on stem cell therapy in SCI."
Regenerative treatment in spinal cord injury,"Ozdemir M, Attar A, Kuzu I.","AB  - Olfactory ensheathing cells (OECs) are glia reported to sustain the continuous axon extension and successful topographic targeting of the olfactory receptor neurons responsible for the sense of smell (olfaction). Due to this distinctive property, OECs have been trialed in human cell transplant therapies to assist in the repair of central nervous system injuries, particularly those of the spinal cord. Though many studies have reported neurological improvement, the therapy remains inconsistent and requires further improvement. Much of this variability stems from differing olfactory cell populations prior to transplantation into the injury site. While some studies have used purified cells, others have used unpurified transplants. Although both preparations have merits and faults, the latter increases the variability between transplants received by recipients. Without a robust purification procedure in OEC transplantation therapies, the full potential of OECs for spinal cord injury may not be realised."
Neural stem cells in the adult spinal cord,"Sabelström H, Stenudd M, Frisén J.","AB  - This review summarizes current progress on development of astrocyte transplantation therapies for repair of the damaged central nervous system. Replacement of neurons in the injured or diseased central nervous system is currently one of the most popular therapeutic goals, but if neuronal replacement is attempted in the absence of appropriate supporting cells (astrocytes and oligodendrocytes), then the chances of restoring neurological functional are greatly reduced. Although the past 20 years have offered great progress on oligodendrocyte replacement therapies, astrocyte transplantation therapies have been both less explored and comparatively less successful. We have now developed successful astrocyte transplantation therapies by pre-differentiating glial restricted precursor (GRP) cells into a specific population of GRP cell-derived astrocytes (GDAs) by exposing the GRP cells to bone morphogenetic protein-4 (BMP) prior to transplantation. When transplanted into transected rat spinal cord, rat and human GDAs(BMP) promote extensive axonal regeneration, rescue neuronal cell survival, realign tissue structure, and restore behavior to pre-injury levels on a grid-walk analysis of volitional foot placement. Such benefits are not provided by GRP cells themselves, demonstrating that the lesion environment does not direct differentiation in a manner optimally beneficial for the restoration of function. Such benefits also are not provided by transplantation of a different population of astrocytes generated from GRP cells exposed to ciliary neurotrophic factor (GDAs(CNTF)), thus providing the first transplantation-based evidence of functional heterogeneity in astrocyte populations. Moreover, lessons learned from the study of rat cells are strongly predictive of outcomes using human cells. Thus, these studies provide successful strategies for the use of astrocyte transplantation therapies for restoration of function following spinal cord injury."
Spinal cord astrocytomas: progresses in experimental and clinical investigations for developing recovery neurobiology-based novel therapies,"Teng YD, Abd-El-Barr M, Wang L, Hajiali H, Wu L, Zafonte RD.","AB  - Axonal junction defects and an inhibitory environment after spinal cord injury seriously hinder the regeneration of damaged tissues and neuronal functions. At the site of spinal cord injury, regenerative biomaterials can fill cavities, deliver curative drugs, and provide adsorption sites for transplanted or host cells. Some regenerative biomaterials can also inhibit apoptosis, inflammation and glial scar formation, or further promote neurogenesis, axonal growth and angiogenesis. This review summarized a variety of biomaterial scaffolds made of natural, synthetic, and combined materials applied to spinal cord injury repair. Although these biomaterial scaffolds have shown a certain therapeutic effect in spinal cord injury repair, there are still many problems to be resolved, such as product standards and material safety and effectiveness."
